time,flux
1502.702222054184,1.0046159
1502.7230554067112,1.006709
1502.7438887577093,1.0045152
1502.7647221069874,1.0135877
1502.7855554547189,1.0125419
1502.8063888007134,1.0070124
1502.8272221451443,1.009106
1502.8480554878213,1.0006304
1502.868888828921,1.0034184
1502.8897221682548,1.0045083
1502.9105555060007,1.0047286
1502.9313888419717,1.0007676
1502.9522221763475,1.0032825
1502.9730555089436,1.0056921
1502.9938888399406,1.0021882
1503.0147221691618,1.0035189
1504.7230594524467,1.019495
1504.743892944482,1.0197676
1504.76472643667,1.0201979
1504.7855599289987,1.0161777
1504.8063934213646,1.0101575
1504.827226913766,1.0062267
1504.8480604061012,1.011097
1504.868893898378,1.005258
1504.8897273905006,1.0025328
1504.9105608824857,1.0052571
1504.9313943742372,0.9979507
1504.9522278657812,1.0001907
1504.9730613570216,0.9958504
1504.9938948479905,0.99749655
1505.0147283385973,0.9999708
1505.0355618288788,0.99775416
1505.0563953187439,0.9987216
1505.0772288082367,0.9975291
1505.0980622972647,0.9978708
1505.118895785876,0.99329484
1505.1397292739832,0.99708825
1505.1605627616373,0.9977423
1505.181396248749,0.9927969
1505.2022297353744,0.99604577
1505.2230632214241,0.9943606
1505.2438967069602,1.0020486
1505.2647301918917,0.99797815
1505.285563676281,1.0029413
1505.3063971600413,0.99761385
1505.3272306432375,0.9968441
1505.3480641257786,0.9985225
1505.3688976077374,0.9946644
1505.3897310890213,0.99801385
1505.4105645697036,0.9909539
1505.4313980496947,0.9967699
1505.4522315290642,0.99396116
1505.4730650077283,0.9948394
1505.4938984857579,0.994111
1505.5147319630673,0.99339265
1505.5355654397283,0.99642116
1505.5563989156565,0.99251974
1505.5772323909225,0.9950221
1505.5980658654464,0.99944454
1505.6188993392989,0.9981334
1505.6397328123987,0.99893653
1505.6605662848174,0.997349
1505.6813997564723,0.99743927
1505.7022332274396,0.9931828
1505.7230666976359,0.997805
1505.7439001671364,0.99922395
1505.76473363586,0.9977998
1505.785567103878,0.9942524
1505.8064005711144,1.0048674
1505.8272340376416,1.0004823
1505.8480675033786,0.99756026
1505.8689009684022,1.004841
1505.889734432629,1.0033041
1505.910567896139,0.99854887
1505.93140135885,0.9958789
